metric,value
mae,0.05457306265178278
rmse,0.06904264036752848
mape,0.20105418162188504
r2,0.9961853675074247
coverage_80,0.7538461538461538
crps,0.03682462526762115
dm_stat,8.785687822926754
mean_loss_diff,0.19927853896257244
origins,12.0
rows,195.0
